,Location,Latitude,Longitude
126,NEWBURGH NY,41.5034271,-74.0104179
127,SAINT AUGUSTINE FL,29.8946952,-81.3145395
128,LEHIGHTON PA,0,0
129,PERU IN,40.7536528,-86.0688811
130,"BOISE, ID",43.6166163,-116.200886
131,"SAN ANTONIO, TX",29.4246002,-98.4951405
132,ANDERSON IN,40.1053196,-85.6802541
133,DALTON GA,54.1959676,-3.0973121
134,BOURBONNAIS IL,41.1639309,-87.8839693
135,AMARILLO TX,35.2072185,-101.8338246
136,TOMAH WI,43.978576,-90.5040214
137,"TUSCALOOSA, AL",33.2095614,-87.5675258
138,KANKAKEE IL,41.1253903,-87.848682
139,COOPERSBURG PA,40.51146,-75.3903376
140,CLAYTON IN,39.6892129,-86.5224984
141,"MUSKOGEE, OK",35.6630196,-95.3927706
142,GRAND RAPIDS MI,42.9142413,-85.533004
143,"MELBOURNE, AU",-37.8142176,144.9631608
144,FALKVILLE AL,34.3673815,-86.88871132
145,NORMAL IL,40.5117699,-88.9944815
146,POPLAR BLUFF MO,36.7568327,-90.3957115
147,"ADELAIDE, AU",-34.9281805,138.5999312
148,GRINNELL IA,41.7430554,-92.7224206
149,WICHITA KS,37.6922361,-97.3375448
150,DADE CITY FL,28.3647248,-82.1959178
151,CHANDLER AZ,33.3062223,-111.8413317
152,ELKO MN,44.5646862,-93.326889
153,"PRINCE GEORGE, BC",53.9128645,-122.7453699
154,"POST FALLS, ID",47.7110106,-116.9480877
155,SAN ANTONIO TX,29.4246002,-98.4951405
156,"OCANA, ES",39.9586665,-3.5007717
157,"LEXINGTON, KY",38.0464066,-84.4970393
158,"RENO, NV",39.5261206,-119.8126581
159,"SIDNEY, MT",0,0
160,CORINTH MS,34.9343599,-88.5223353
161,ALLENTOWN PA,40.6022059,-75.4712794
162,LEBANON TN,36.2079779,-86.2910945
163,KANSAS CITY MO,39.100105,-94.5781416
164,"BAKERSFIELD, CA",35.3738712,-119.0194639
165,"BOW, NH",43.133061,-71.549149
166,"ROMULUS, MI",42.2222614,-83.3965995
167,"RACINE, WI",42.7260523,-87.7825242
168,"JACKSON, MI",32.2990384,-90.1847691
169,STONEHAM MA,42.4800954,-71.0994976
170,"OMAHA, NE",41.2587459,-95.9383758
171,"GILLETTE, WY",44.290635,-105.501876
172,WATERTOWN SD,44.899211,-97.115289
173,SHAKOPEE MN,44.7980186,-93.5268986
174,"FRANKLIN, CT",41.6089873,-72.1459112
175,INDIANAPOLIS IN,0,0
176,JERSEY CITY NJ,40.7281575,-74.0776417
177,"LONGVIEW, WA",46.1377048,-122.9344623
178,"ANCHORAGE, AK",61.2163129,-149.8948523
179,"OKLAHOMA CITY, OK",35.4729886,-97.5170536
180,"POLK CITY, FL",28.1825147,-81.8239676
181,"SPARTANBURG, SC",34.9498007,-81.9320157
182,ATLANTA GA,33.7490987,-84.3901849
183,JEFFERSONVILLE IN,38.2770227,-85.7371604
184,"SEARCY, AR",35.9018987,-92.7098744
185,"PANAMA CITY, PN",30.1600827,-85.6545729
186,"WESSINGTON SPRINGS, SD",44.079157,-98.569536
187,KOKOMO IN,40.4864444,-86.1336351
188,FLETCHER NC,35.4306712,-82.5012316
189,MARSHALLTOWN IA,42.0442545,-92.9123388
190,PERU IL,-6.8699697,-75.0458515
191,"CUSHING, OK",35.9850639,-96.76697
192,"SPRINGFIELD, MO",0,0
193,"DICKINSON, ND",46.8791756,-102.7896242
194,CALDWELL ID,43.6678736,-116.6894156
195,"HOBBS, NM",32.707667,-103.1311314
196,"TRURO, NS",45.366668,-63.300006
197,"MONTERREY, MX",25.6802019,-100.3152586
198,"STUTTGART, AR",34.5003748,-91.5526281
199,ELLENBORO NC,35.3290128,-81.7587106
200,"HEADLAND, AL",31.351284,-85.3421559
201,"ASHLAND, KY",38.4784144,-82.6379387
202,"MCALESTER, OK",34.9334981,-95.7697934
203,"WASILLA, AK",61.5824216,-149.4425638
204,"YOUNGSTOWN, OH",41.1035786,-80.6520161
205,"FARMINGTON, NM",36.7291152,-108.2054451
206,"ARTESIA, NM",32.8423345,-104.4032963
207,MOBILE AL,0,0
208,"SWEETWATER, OK",35.421893,-99.91160301
209,ANGOLA NY,42.638393,-79.027816
210,MONMOUTH IL,40.2932319,-74.1671114
211,"BALTIMORE, MD",39.2908816,-76.610759
212,"VANCOUVER, WA",45.6306954,-122.6744557
213,"ELKHART, IN",41.6012796,-85.8590603
214,CLEVELAND OH,41.5051613,-81.6934446
215,"WHARTON, NJ",40.8931546,-74.5818254
216,"CARTHAGE, TX",32.1570412,-94.338114
217,"CASPER, WY",42.866632,-106.313081
218,"MONROE, LA",38.2722313,-90.1792484
219,GRAND JUNCTION CO,39.063956,-108.5507317
220,LAKELAND FL,28.0470734,-81.9539892
221,"TWIN FALLS, ID",42.5704219,-114.4603171
222,"MEDFORD, OR",42.3264181,-122.8718605
223,"CUTHBERT, GA",0,0
224,"SAGUNTO, ES",39.6791712,-0.2774146
225,"STIGLER, OK",35.253708,-95.1230169
226,"KANSAS CITY , MO",39.100105,-94.5781416
227,WATERLOO IA,42.4979693,-92.3329637
228,"DES MOINES, IA",41.5910641,-93.6037149
229,"PITTSBURG, TX",32.9954021,-94.9657688
230,"BUXTON, ND",47.601924,-97.0973081
231,"SPOKANE, WA",47.6579425,-117.4212265
232,"INDIANAPOLIS, IN",39.7683331,-86.1583502
233,"JASPER, AL",33.8312185,-87.2775053
234,"GONZALES, LA",29.4436555,-97.5108636
235,"CLENDENIN, WV",38.4887089,-81.3481745
236,"BLEDSOE, KY",36.9237003,-83.3668494
237,"CLINTON, OK",35.5156056,-98.9673069
238,CORPUS CHRISTI TX,27.7477253,-97.4014129
239,"DARLINGTON, PA",0,0
240,NEW BRAUNFELS TX,29.7028266,-98.1257348
241,"CLARKSTON, WA",46.4162724,-117.0451796
242,"MINOT, ND",48.23251,-101.296273
243,SELBY SD,45.506379,-100.032066
244,"HERMOSILLO, MX",29.0948207,-110.9692202
245,"POCATELLO, ID",42.8688613,-112.4401098
246,"CHARLESTON, SC",32.7876012,-79.9402728
247,"DECATUR, AL",34.5425325,-86.90905581
248,NEWTON IA,41.6996927,-93.0537592
249,"LADSON, SC",33.0062755,-80.10933393
250,"ROCHESTER, NY",43.157285,-77.615214
251,"ROCKFORD, IL",42.2713945,-89.093966
252,"POTEAU, OK",35.0537094,-94.6235579
253,"WILBURTON, OK",34.9187023,-95.3097807
254,"PRINCETON, WV",37.366328,-81.1026607
255,"DALLAS, TX",0,0
256,"KEARNEY, NE",40.4906216,-98.9472344
257,HOUSTON TX,29.7589382,-95.3676974
258,"DUNBAR, PA",39.9778528,-79.6144835
259,"SEILING, OK",36.1480957,-98.9242615
260,"LORAIN, OH",41.2633554,-82.1734746
261,"ALVA, OK",36.8050308,-98.6664737
262,"SALINE, MI",39.1256186,-93.2300648
263,"MCALLEN, TX",26.2043691,-98.230082
264,"CINCINNATI, OH",39.1014537,-84.5124602
265,"CALEDON, ON",43.875427,-79.858285
266,"STILLWATER, OK",36.1156306,-97.0585717
267,"NEW BRAUNFELS, TX",29.7028266,-98.1257348
268,"SALINAS, CA",0,0
269,"ALDERSYDE, AB",50.6749276,-113.8801878
270,"FOREST PARK, GA",33.6220542,-84.3690918
271,"EUGENE, OR",44.0505054,-123.0950506
272,"SIOUX FALLS, SD",43.5499749,-96.700327
273,"MORRILTON, AR",35.1509173,-92.7440538
274,BOLINGBROOK IL,41.7003302,-88.0717708
275,"AURORA, IL",16,121.75
276,"LENOX, MI",40.8816547,-94.5619095
277,"SPRINGDALE, AR",36.1867442,-94.1288142
278,"SUN VALLEY, CA",49.2827818,-122.7430346
279,"GRAND JUNCTION, CO",39.063956,-108.5507317
280,"WEST MONROE, LA",32.5184775,-92.1476353
281,"GREELEYVILLE, SC",33.5809988,-79.9889654
282,"COLTON, CA",34.0739016,-117.3136547
283,CARMI IL,38.0908796,-88.1586488
284,WAYNESFIELD OH,0,0
285,"SYDNEY, AU",-33.8548157,151.2164539
286,"LOUISVILLE, KY",38.2542376,-85.759407
287,"PERRY, GA",32.4586695,-83.7319658
288,"WARWICK, RI",41.7002024,-71.4161108
289,"ROCKINGHAM, NC",36.3926798,-79.744144
290,ALBUQUERQUE NM,35.0841034,-106.6509851
291,"HAMMOND, LA",41.5833658,-87.500043
292,"MONROE, NC",34.9854275,-80.5495112
293,"DULUTH, MN",46.7729322,-92.1251218
294,"BALD KNOB, AR",35.3098066,-91.5679114
295,"FAYETTEVILLE, AR",36.0625843,-94.1574328
296,"WATERLOO, IA",42.4979693,-92.3329637
297,CLEBURNE TX,32.3476438,-97.3866837
298,"EVANSVILLE , IN",0,0
299,"NESBIT, MS",34.881763,-90.0087022
300,"PORTLAND, AR",33.2378972,-91.5115095
301,"SCRANTON, PA",41.4086874,-75.6621294
302,"DUNCANSVILLE, PA",40.4234058,-78.433903
303,"STOCKTON, CA",49.583333,-99.45
304,"WEST END, NC",35.2398749,-79.5675332
305,"SASKATOON, SK",52.131802,-106.660767
306,MINNEAPOLIS MN,44.9772995,-93.2654692
307,"LINTON, ND",46.266657,-100.232892
308,FAUCETT MO,39.5999959,-94.7974622
309,"NORTH CHARLESTON, SC",32.9131295,-80.0629982
310,"PASCO, WA",46.2306739,-119.0921006
311,"RALEIGH, NC",35.7803977,-78.6390989
312,"TRENTON, MI",40.2170575,-74.7429463
313,"OSCEOLA, WI",45.3205848,-92.7045526
314,"HENDERSON, CO",0,0
315,"KNOXVILLE, TN",35.9603948,-83.9210261
316,"SOMERSET, PA",39.9980022,-79.0415528
317,"SYRACUSE, NY",43.0481221,-76.1474244
318,"CADIZ, OH",40.2728452,-80.9967628
319,"CANASTOTA, NY",43.079672,-75.751076
320,"EAST BRUNSWICK, NJ",40.4278841,-74.415984
321,"LUFKIN, TX",31.3386242,-94.7288558
322,"PLAINVILLE, CT",41.6711395,-72.8672429
323,"PORTAGE, WI",44.4604931,-89.5108818
324,"ST AUBIN SUR GAILLON, FR",49.146771,1.3294707
325,"WOODHAVEN, MI",42.1370519,-83.2451066
326,"HUGHES SPRINGS, TX",32.998462,-94.6307586
327,"CENTER, TX",31.8160381,-99.5120986
328,HARRISBURG PA,40.2663107,-76.8861122
329,"EAGAN, MN",44.818173,-93.1659179
330,"COPE, SC",33.3779336,-81.0070403
331,"BLAIRSVILLE, GA",34.8759067,-83.958371
332,"BRAMPTON, ON",0,0
333,"CROOKSTON, MN",47.7739988,-96.6081167
334,"FREDERICK, MD",39.4142186,-77.4109269
335,"MANASSAS, VA",38.744947,-77.48244423
336,"MONTICELLO, NY",41.6556465,-74.6893282
337,"WOOSTER, OH",40.7991766,-81.9383187
338,"CHARLESTON, WV",38.3505995,-81.6332812
339,"MEDINA, WV",38.9989693,-81.6284601
340,"SPARTA, KY",38.6880765,-84.8988044
341,"MACON, GA",32.8406946,-83.6324022
342,DECATUR IL,39.8454163,-88.9524151
343,WHITMORE LAKE MI,42.439479,-83.7438303
344,"PINEVILLE, KY",36.7620301,-83.6949176
345,"MOULTRIE, GA",0,0
346,"AUBURN, ME",44.0978509,-70.2311655
347,"LANSING, IL",42.7337712,-84.5553805
348,"LONDON, KY",37.1289771,-84.0832646
349,"LUCASVILLE, OH",38.8790413,-82.9965674
350,"NORTH HAVEN, CT",41.3909305,-72.859545
351,"FINLEYVILLE, PA",40.2522922,-80.0028294
352,"IRON CITY, GA",31.0135189,-84.8129778
353,"MIDLAND, NC",35.2476245,-80.52265611
354,LAREDO TX,27.5199841,-99.4953764
355,"CANTON, OH",40.7989522,-81.3784445
356,"CHILHOWIE, VA",36.7984482,-81.6823411
357,"MADISON, WI",43.074761,-89.3837613
358,"SOUTH BEND, IN",41.6833813,-86.2500066
359,"SYKESVILLE, MD",39.365992,-76.9688737
360,"WEST HAVEN, CT",0,0
361,"FORT SMITH, AR",35.3872218,-94.4248983
362,"FORT KNOX, KY",37.8896725,-85.96641739
363,"PONTIAC, MI",42.6389216,-83.2910468
364,"PRATTVILLE, AL",32.4640245,-86.4596966
365,"LIME SPRINGS, IA",43.4488554,-92.2807251
366,"HUDSONVILLE, MI",42.870889,-85.865235
367,MIFFLINVILLE PA,41.029534,-76.3077834
368,"MEMPHIS, TN",35.1490215,-90.0516285
369,"DOUGLASSVILLE, PA",40.2578714,-75.7263008
370,ORLANDO FL,28.5479786,-81.41278419
371,"ODESSA, TX",31.8457149,-102.367687
372,"TELFORD, PA",40.3220483,-75.3279538
373,"ANDERSON, SC",34.5258335,-82.652962
374,"ARCHBOLD, OH",41.5211332,-84.3065469
375,"CALHOUN, GA",0,0
376,"CORTEZ, CO",37.3494528,-108.5840736
377,"DOYLESTOWN, PA",40.3100446,-75.1304588
378,"GLEN ULLIN, ND",46.8150051,-101.829877
379,"IRONPLANET, CA",0,0
380,"JASPER, TX",30.7485258,-94.000884
381,"KINGSTREE, SC",33.6676643,-79.8306265
382,"LANEXA, VA",37.4237573,-76.9010753
383,"LINEBORO, MD",39.7187135,-76.8438656
384,"LYNDHURST, NJ",40.8120247,-74.1242816
385,"MIDLAND, MI",31.83688,-102.0103767
386,"MYRTLE BEACH, SC",33.6956461,-78.8900409
387,"SINGAPORE, SG",1.357107,103.8194992
388,"STAMFORD, CT",0,0
389,"STURTEVANT, WI",42.6980749,-87.8945229
390,"WEST PALM BEACH, FL",26.7153425,-80.0533746
391,"NEWPORT, AR",35.6048018,-91.2817951
392,"CARROLL, OH",40.5250362,-81.0927234
393,"CHAMPAIGN, IL",40.1164205,-88.2433829
394,"OCEANSIDE, CA",49.3201693,-124.3111345
395,OMAHA NE,41.2587459,-95.9383758
396,"IRWIN, PA",40.3301738,-79.7093339
397,"RAINBOW, TX",32.2654205,-97.7141938
398,"NORTH HAVERHILL, NH",44.0903425,-72.0264783
399,CLARKSVILLE IN,38.2967791,-85.7602087
400,"CECIL, OH",41.218661,-84.602175
401,"FLAT ROCK, IN",39.3642171,-85.8316514
402,"CLANTON, AL",32.8387371,-86.6294262
403,TUPELO MS,34.2576067,-88.7033859
404,"GRAND HAVEN, MI",43.0630734,-86.2283864
405,"HIGH RIVER, AB",0,0
406,"NELSONVILLE, OH",39.458681,-82.2318156
407,"ARCANUM, OH",39.9900504,-84.553286
408,"CHAFFEE, NY",42.5681176,-78.4789091
409,"CLARKS SUMMIT, PA",41.4941161,-75.703413
410,"CORDELE, GA",31.9635074,-83.7823938
411,"CORVALLIS, OR",44.5645659,-123.2620435
412,"DELEVAN, NY",42.4892295,-78.4808534
413,"DOVER, DE",39.158168,-75.5243682
414,"ECKHART MINES, MD",39.6525872,-78.8969671
415,"GETTYSBURG, PA",39.8309417,-77.2311047
416,"HUNTSVILLE, AL",34.729847,-86.5859011
417,"IMPERIAL, PA",8.9861246,-79.53033775
418,"JOPLIN, MO",0,0
419,"KENTLAND, IN",40.7703153,-87.4453033
420,"LONG BEACH, NJ",39.6478982,-74.17379619
421,"LONGVIEW, TX",32.5007031,-94.74049
422,"LOWELL, MA",42.6334247,-71.3161718
423,"LUGOFF, SC",34.2273712,-80.6892487
424,"MEDICINE HAT, AB",50.04303,-110.679016
425,"MIDDLESEX, NJ",40.4279708,-74.3963102
426,"MIDDLETOWN, NY",40.8397222,-73.8316667
427,"NAHUNTA, GA",31.20439,-81.981226
428,"OCEAN SPRINGS, MS",30.4112904,-88.8279165
429,"PINE KNOT, KY",36.66383,-84.44604076
430,"PISCATAWAY, NJ",40.5462553,-74.4660408
431,"PORT HURON, MI",42.9815877,-82.440466
432,"ROCKY MOUNT, VA",36.9962007,-79.8909474
433,"ROME, NY",43.2128473,-75.4557304
434,"SAGINAW, MI",0,0
435,"SCHUYLKILL HAVEN, PA",40.6306464,-76.171054
436,"TALIHINA, OK",34.7514893,-95.0480162
437,"TOLEDO, OH",41.6786754,-83.5127283
438,"TUNICA, MS",34.6845455,-90.382877
439,"VILLA RICA, GA",33.732052,-84.9191081
440,"WARREN, AR",33.6126086,-92.0645831
441,"WAVELAND, MS",30.2868632,-89.3761587
442,"WESTMINSTER, MD",39.5752639,-76.9959277
443,"WILLIAMSPORT, PA",41.2493292,-77.0027671
444,"WINCHESTER, VA",39.1852184,-78.1652404
445,"YONKERS, NY",40.9312099,-73.8987469
446,"REDCLIFF, AB",50.083333,-110.783333
447,"BUSHKILL, PA",41.093429,-75.0018401
448,"RUTHERFORDTON, NC",0,0
449,"MASON, MI",43.9778831,-86.246291
450,"OTTAWA, OH",41.5421375,-83.213342
451,"SULLIVAN, OH",41.0281106,-82.2221033
452,"OXFORD, MS",34.3664127,-89.5187664
453,"WRIGHT CITY, MO",38.8275491,-91.0201422
454,GRAND ISLAND NE,40.924271,-98.338685
455,"GREENSBURG, PA",40.3014581,-79.5389289
456,"SCOTT, AR",-30.9636014,-64.4827933
457,"NORTH STONINGTON, CT",41.46510165,-71.87242309
458,"MULDROW, OK",35.4062034,-94.5988306
459,"RANGER, TX",32.4693688,-98.6799442
460,"CAMBRIDGE, OH",40.031183,-81.5884561
461,"CANEYVILLE, KY",37.4242184,-86.4883148
462,"LANSING, MI",0,0
463,"LAWRENCEVILLE, IL",33.9562149,-83.9879625
464,"ADDISON, IL",41.931696,-87.9889556
465,"AUSTIN, MN",43.6680928,-92.9744896
466,"BELLE GLADE, FL",26.6845104,-80.6675577
467,"BELOIT, OH",40.9231141,-80.9937025
468,"BLACKSBURG, SC",35.1212409,-81.5159246
469,"BLOOMINGBURG, NY",41.5542603,-74.4396014
470,"BUCYRUS, KS",38.7263985,-94.7182912
471,"CAMDEN, SC",34.2465393,-80.6070238
472,"CENTRALIA, IL",38.5250491,-89.1334037
473,"CHALFONT, PA",40.29066735,-75.21070232
474,"CHARLOTTESVILLE, VA",38.029306,-78.4766781
475,"CLARKSVILLE, AR",35.4714724,-93.4665731
476,"CLEARFIELD, PA",0,0
477,"CONSHOHOCKEN, PA",40.0792766,-75.3015714
478,"DALTON, GA",34.7691867,-84.9702475
479,"DELAWARE, OH",40.2317686,-82.9651045
480,"DURHAM, NC",35.996653,-78.9018053
481,"EASTON, PA",40.6916081,-75.2099866
482,"ELKO, MN",44.5646862,-93.326889
483,"ERMA, NJ",38.9979735,-74.89382521
484,"FITCHBURG, MA",42.5834228,-71.8022956
485,"FLEMINGTON, NJ",40.50798155,-74.86064662
486,"FLORENCE, KY",38.9989499,-84.6266111
487,"GILMAN, IL",41.8794766,-92.7885874
488,"GOLDSBORO, NC",35.3848841,-77.9927651
489,"HAMPTON, NJ",40.7070446,-74.9560032
490,"HARTVILLE, OH",40.9636685,-81.3312195
491,"HENDERSON, KY",37.76721,-87.5573742
492,"HOLLAND, OH",0,0
493,"HOMINY, OK",36.4142357,-96.3952963
494,"JONESTOWN, PA",41.1264315,-76.30702727
495,"KENNESAW, GA",34.0234337,-84.6154897
496,"LANCASTER, OH",39.7136754,-82.5993294
497,"LAPEER, MI",43.0904764,-83.2333705
498,"LENNOX, SD",43.354148,-96.891995
499,"LEXINGTON, NC",35.8240265,-80.2533838
500,"LUDLOW, MA",42.1600936,-72.475919
501,"MANTUA, OH",41.283944,-81.223991
502,"MASSILLON, OH",40.7967244,-81.5215093
503,"MOOSUP, CT",41.7132267,-71.8807826
504,"MOUNTAINSIDE, NJ",40.6723242,-74.3573722
505,"OKEECHOBEE, FL",27.3923408,-80.8873655
506,"PANAMA CITY , FL",0,0
507,"PHILADELPHIA, PA",39.9527237,-75.1635262
508,"PINE BLUFF, AR",34.2157064,-92.0140402
509,"PLYMOUTH, IN",41.3436555,-86.3097278
510,"QUEENS, NY",40.7498243,-73.7976337
511,"READING, PA",40.335345,-75.9279495
512,"ROCK TAVERN, NY",41.4662049,-74.1912587
513,"SAN DIEGO, CA",32.7174209,-117.1627714
514,"SANDY HOOK, CT",41.4200956,-73.2820608
515,"SARASOTA, FL",27.3364347,-82.5306527
516,"SHREVEPORT, LA",32.5221828,-93.7651944
517,"TOWANDA, PA",41.7673567,-76.44291
518,"TROUP, TX",32.144985,-95.1214981
519,"TULLY, NY",42.798123,-76.1093696
520,"TUNKHANNOCK, PA",41.5385159,-75.946844
521,"UTICA, NY",43.1009031,-75.2326641
522,"VAN BUREN, AR",0,0
523,"VINE GROVE, KY",37.8100674,-85.9813524
524,"WARRENTON, GA",33.4070837,-82.6620781
525,"WAUSAU, WI",44.9596017,-89.6298239
526,"WEST BERLIN, NJ",39.8087258,-74.9412765
527,"WESTVILLE, IN",41.5414297,-86.9005825
528,"WILLIAMSTON, MI",42.689151,-84.2832798
529,"WINCHESTER, IN",40.1719892,-84.9813549
530,"YORK, SC",34.9603293,-81.1655408
531,"SAN BERNARDINO, CA",34.8253019,-116.0833144
532,"GOSHEN, IN",41.5824086,-85.834366
533,"WOODSTOCK, ON",43.133061,-80.749855
534,"ALMOND, NY",42.3222916,-77.738327
535,CALHOUN GA,31.5311784,-84.614328
536,"REGINA, SK",50.44876,-104.61731
537,"RURAL VALLEY, PA",40.7992313,-79.3144845
538,"TALLMADGE, OH",41.1014616,-81.4417989
539,MADISON HEIGHTS VA,37.446375,-79.0934367
540,"CHARLOTTE, NC",0,0
541,"MOGADORE, OH",41.050775,-81.393946
542,"PITTSFIELD, MA",42.4500967,-73.2453785
543,"WHITSETT, NC",36.0712466,-79.5644686
544,"AKRON, OH",41.083064,-81.518485
545,"ALACHUA, FL",29.675568,-82.3640109
546,"ALBERTVILLE, AL",34.2675937,-86.2088669
547,"AMESBURY, MA",42.8579536,-70.9300921
